feature,shap_importance
month,0.09069941
FILT_NTU,0.03749715
day,0.036301803
FRIDE,0.020866184
RW_FLOW,0.015562865
day_of_week,0.008368618
RW_CLR,0.0069618616
ALUM_lag6,0.0062435945
FILT_NTU_lag1,0.0060416344
RW_FLOW_lag2,0.004719354
hour,0.004227514
RW_NTU,0.0038431766
ALUM,0.0037151608
RW_NTU_lag3,0.003208952
FILT_NTU_lag2,0.0030780463
ALUM_div_RW_NTU,0.0029679826
RW_NTU_x_ALUM,0.0029639534
RW_FLOW_lag1,0.0029483212
ALUM_lag4,0.0026325474
ALUM_lag3,0.0025803868
RW_NTU_diff1,0.0017334106
RW_NTU_lag2,0.0016841685
RW_NTU_lag1,0.00085462816
ALUM_lag5,0.0005444781
PH,0.00022161014
RW_PH_lag1,3.1886546e-05
RW_PH,1.4986639e-05
is_weekend,0.0
RW_PH_lag2,0.0
