feature,spearman_rho,p_value,abs_rho,direction
month,0.4697772073176104,1.045712609295248e-225,0.4697772073176104,+
RW_FLOW,0.3861498180690317,6.821639258427682e-147,0.3861498180690317,+
RW_FLOW_lag1,0.3670949616333187,6.963299636440955e-132,0.3670949616333187,+
RW_FLOW_lag2,0.3631916895658935,6.226788300175323e-129,0.3631916895658935,+
day,0.19751219598154654,1.3932576384730934e-37,0.19751219598154654,+
RW_PH,-0.18695785800025447,8.766122709464127e-34,0.18695785800025447,-
FILT_NTU,0.18107565405187437,9.206474711610986e-32,0.18107565405187437,+
RW_PH_lag2,-0.17855452735131247,6.450190532544146e-31,0.17855452735131247,-
RW_PH_lag1,-0.17635262314997457,3.449897540895575e-30,0.17635262314997457,-
FILT_NTU_lag1,0.16020430126758445,3.894166687170098e-25,0.16020430126758445,+
FILT_NTU_lag2,0.1398622909056355,1.752100156732415e-19,0.1398622909056355,+
RW_NTU_x_ALUM,-0.13227453988768575,1.419598081771942e-17,0.13227453988768575,-
RW_CLR,-0.13039957648761205,4.0476854844868136e-17,0.13039957648761205,-
PH,0.12134946001566535,5.149376911296272e-15,0.12134946001566535,+
RW_NTU,-0.12104251047861248,6.032193050847571e-15,0.12104251047861248,-
RW_NTU_lag1,-0.11481659505744499,1.370520570084262e-13,0.11481659505744499,-
ALUM_lag6,-0.1105287869372539,1.070710202652749e-12,0.1105287869372539,-
RW_NTU_lag2,-0.11043010872792439,1.1215594174972735e-12,0.11043010872792439,-
ALUM_lag4,-0.11013891970521235,1.28581991117125e-12,0.11013891970521235,-
ALUM_lag5,-0.10958627931632392,1.6649766285840614e-12,0.10958627931632392,-
ALUM_div_RW_NTU,0.10657886071451293,6.6432192788157006e-12,0.10657886071451293,+
RW_NTU_lag3,-0.1062845403953251,7.591145162391253e-12,0.1062845403953251,-
ALUM_lag3,-0.10591446076507319,8.972705423847737e-12,0.10591446076507319,-
ALUM,-0.09043209179933641,5.87116125538593e-09,0.09043209179933641,-
FRIDE,-0.04604141180008044,0.0030882797582248785,0.04604141180008044,-
day_of_week,-0.02828278417142994,0.06922197583252857,0.02828278417142994,-
is_weekend,-0.025367152691225386,0.10318694461172567,0.025367152691225386,-
hour,0.01935332725539137,0.21380088181416024,0.01935332725539137,+
RW_NTU_diff1,0.01506892388499946,0.33307794694124393,0.01506892388499946,+
