DATE	TIME	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
2025-01-04 00:00:00	700	7.45	2.0	48.4	120	1183	7.0	0.06	3.83	7.3	0.1	5	1.7	-	0.05	2,4	43.5	-	-	
2025-01-04 00:00:00	900	7.5	2.0	48.6	146	1439	7.0	0.08	3.72	7.3	0.1	5	1.5	-	0.05	2,4	43.6	-	-	B/W filter no.3
2025-01-04 00:00:00	1100	7.59	2.0	48.2	109	988	7.0	0.06	3.83	7.3	0.1	5	1.6	-	0.05	2,4	43.8	-	-	
2025-01-04 00:00:00	1300	7.44	2.0	47.6	94	931	7.0	0.07	3.86	7.3	0.1	5	1.6	-	0.05	2,4	43.6	-	-	
2025-01-04 00:00:00	1500	7.22	2.0	48.1	76	680	7.0	0.09	3.81	7.3	0.11	5	1.6	-	0.05	2,4	42.6	-	-	
2025-01-04 00:00:00	1700	7.21	2.0	47.6	62	540	7.0	0.09	3.79	7.3	0.12	5	1.6	-	0.05	2,4	42.6	-	-	
2025-01-04 00:00:00	1900	7.01	2.0	47.0	55	537	7.0	0.13	3.78	7.3	0.13	5	1.6	-	0.05	2,4	42.6	-	-	
2025-01-04 00:00:00	2100	6.89	2.0	47.0	55	537	7.0	0.16	3.76	7.3	0.13	5	1.6	-	0.05	2,4	42.6	-	-	
2025-01-04 00:00:00	2300	6.8	2.0	47.0	63	561	7.0	0.13	3.8	7.3	0.13	5	1.5	-	0.05	2,4	43.5	-	-	
2025-01-04 00:00:00	100	6.82	2.0	47.3	60	554	7.0	0.14	3.81	7.3	0.13	5	1.5	-	0.05	2,4	43.6	-	-	
2025-01-04 00:00:00	300	6.79	2.0	47.0	57	542	7.0	0.15	3.79	7.3	0.14	5	1.6	-	0.05	2,4	43.5	-	-	
2025-01-04 00:00:00	500	6.78	2.0	47.2	54	530	7.0	0.24	3.82	7.3	0.17	5	1.6	-	0.05	2,4	43.5	-	-	
2025-02-04 00:00:00	700	7.1	2.0	47.6	58	569	7.0	0.16	3.63	7.3	0.17	5	1.6	-	0.05	2,4	43.3	-	-	B/W no.2
2025-02-04 00:00:00	900	7.07	2.0	47.2	62	606	7.0	0.05	3.75	7.3	0.16	5	1.6	-	0.05	2,4	43.7	-	-	
2025-02-04 00:00:00	1100	6.98	2.0	46.4	69	622	7.0	0.05	3.81	7.3	0.12	5	1.6	-	0.05	2,4	43.8	-	-	
2025-02-04 00:00:00	1300	6.86	2.0	46.8	72	708	7.0	0.05	3.81	7.3	0.12	5	1.6	-	0.05	2,4	43.7	-	-	
