Data	Time	River Level	Unnamed: 3	R/W FLOW	R/W NTU	R/W CLR	Unnamed: 7	FILT. NTU	C/W WELL LEVEL	Unnamed: 10	NTU	CLR	Unnamed: 13	T/W FLOW	Unnamed: 15
2025-08-01	700	3.2		49.3	9	130		0.07	3.81		0.72	5		45.7	
2025-08-01	900	3.19		49.1	9	130		0.07	3.78		0.72	5		45.6	
2025-08-01	1100	3.16		49.4	8	127		0.06	3.74		0.7	5		45.7	
2025-08-01	1300	3.14		49.2	8	127		0.06	3.72		0.69	5		48.7	
2025-08-01	1500	3.15		49.5	9	130		0.06	3.7		0.67	5		46.0	
2025-08-01	1700	3.16		49.1	10	139		0.05	3.3		0.69	5		46.0	
2025-08-01	1900	3.17		49.5	10	139		0.05	3.36		0.69	5		45.6	
2025-08-01	2100	3.19		49.5	10	139		0.08	3.44		0.69	5		45.8	
2025-08-01	2300	3.19		49.5	10	139		0.05	3.49		0.68	5		45.6	
2025-08-01	100	-		49.8	10	139		0.05	3.71		0.68	5		45.7	
2025-08-01	300	-		49.6	10	139		0.05	3.77		0.68	5		45.6	
2025-08-01	500	-		49.7	10	139		0.05	3.78		0.68	5		45.6	
2025-08-02	700	3.3		49.5	23	250		0.07	3.27		0.68	5		45.0	
2025-08-02	900	3.33		49.4	31	325		0.07	3.0		0.68	5		44.9	
2025-08-02	1100	3.34		50.3	20	221		0.08	3.25		0.75	5		45.1	
2025-08-02	1300	3.35		50.0	22	235		0.08	3.22		0.71	5		45.2	
2025-08-02	1500	3.39		50.0	24	264		0.07	3.32		0.2	5		45.2	
2025-08-02	1700	3.57		51.7	21	237		0.08	3.56		0.19	5		45.6	
2025-08-02	1900	3.69		51.5	47	318		0.09	3.84		0.18	5		45.2	
2025-08-02	2100	3.84		51.0	40	298		0.09	3.84		0.18	5		45.2	
2025-08-02	2300	3.84		51.0	32	325		0.1	3.8		0.19	5		45.2	
2025-08-02	100	-		51.3	29	320		0.1	3.81		0.2	5		45.8	
2025-08-02	300	-		51.4	29	320		0.1	3.8		0.2	5		45.6	
2025-08-02	500	-		51.4	29	320		0.1	3.8		0.2	5		45.7	
2025-08-03	700	4		50.2	25	253		0.11	3.83		0.2	5		45.7	
2025-08-03	900	3.97		50.2	23	240		0.11	3.82		0.2	5		45.6	
2025-08-03	1100	3.94		51.1	20	221		0.09	3.73		0.2	5		45.7	
2025-08-03	1300	3.92		51.0	21	225		0.13	3.43		0.21	5		45.8	
2025-08-03	1500	3.91		50.9	20	221		0.12	3.35		0.21	5		45.7	
2025-08-03	1700	3.89		49.5	22	241		0.06	3.55		0.2	5		45.7	
2025-08-03	1900	3.87		49.5	23	253		0.06	3.64		0.19	5		45.7	
2025-08-03	2100	3.84		49.5	22	241		0.06	3.56		0.19	5		45.7	
2025-08-03	2300	3.85		49.3	21	225		0.05	3.55		0.18	5		45.6	
2025-08-03	100	5.82		50.4	21	225		0.05	3.72		0.19	5		45.7	
2025-08-03	300	3.84		50.5	22	241		0.05	3.8		0.19	5		45.8	
2025-08-03	500	3.86		49.8	20	221		0.05	3.83		0.19	5		45.7	
