DATE	TIME	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
2025-01-12 00:00:00	700.0	4.89	2	54.0	21	210	7	0.03	3.84	7.3	0.21	5	1	0.01	0.05	1,2,4	52.0	-	-	
2025-01-12 00:00:00	900.0	4.86	2	54.0	20	300	7	0.04	3.84	7.3	0.22	5	1	0.01	0.05	2,3,4	52.0			
2025-01-12 00:00:00	1100.0	4.81	2	54.1	21	210	7	0.04	3.82	7.3	0.24	5	1	0.01	0.05	2,3,4	52.0			
2025-01-12 00:00:00	1300.0	4.76	2	54.0	21	210	7	0.03	3.84	7.3	0.24	5	1	0.01	0.05	2,3,4	51.9			
2025-01-12 00:00:00	1500.0	4.73	2	54.8	22	211	7	0.04	3.84	7.3	0.34	5	1	0.01	0.06	2/3/,5	50.4			
2025-01-12 00:00:00	1700.0	4.72	2	54.6	27	282	7	0.04	3.84	7.3	0.26	5	1	0.01	0.06	2,3,4	50.6			
2025-01-12 00:00:00	1900.0	4.77	2	54.4	31	324	7	0.04	3.84	7.3	0.26	5	1	0.01	0.06	2,3,4	50.2			
2025-01-12 00:00:00	2100.0	4.76	2	54.6	29	311	7	0.04	3.83	7.3	0.26	5	1.2	0.01	0.06	2,3,4	50.4			
2025-01-12 00:00:00	2300.0	4.77	2	54.2	27	284	7	0.04	3.83	7.3	0.25	5	1.2	0.01	0.06	2,3,4	50.6			
2025-01-12 00:00:00	100.0	4.81	2	54.21	24	260	7	0.04	3.83	7.3	0.25	5	1.1	0.01	0.06	2,3,4	50.2			
2025-01-12 00:00:00	300.0	4.86	2	54.6	24	260	7	0.04	3.83	7.3	0.27	5	1	0.01	0.06	2,3,4	50.3			
2025-01-12 00:00:00	500.0	4.98	2	54.5	28	280	7	0.04	3.83	7.3	0.24	5	1	0.01	0.06	2,3,4	50.5			
2025-02-12 00:00:00	700.0	5.1	2	53.3	32	320	7	0.04	3.84	7.3	0.22	5	1	0.21	0.05	2,3,4	52.0			
2025-02-12 00:00:00	900.0	5.13	2	53.9	24	240	7	0.04	3.84	7.3	0.22	5	1	0.01	0.05	2,3,4	52.2			
2025-02-12 00:00:00	1100.0	5.11	2	53.4	24	240	7	0.04	3.84	7.3	0.22	5	0.62	0.01	0.05	2,3,4	51.7			
2025-02-12 00:00:00	1300.0	5.03	2	53.2	24	240	7	0.04	3.84	7.3	0.22	5	0.72	0.01	0.05	2,3,4	52.2			
2025-02-12 00:00:00	1500.0	4.95	2	53.0	30	300	7	0.04	3.84	7.3	0.23	5	1	0.01	0.05	2/3/,4	52.3			
2025-02-12 00:00:00	1700.0	4.92	2	53.1	30	300	7	0.04	3.52	7.3	0.24	5	1	0.01	0.05	2/3/,4	52.0			cuci sump
2025-02-12 00:00:00	1900.0	5.01	2	54.0	35	362	7	0.05	3.6	7.3	0.24	5	1.1	0.01	0.05	2,3,4	52.1			
2025-02-12 00:00:00	2100.0	5.18	2	53.8	33	344	7	0.05	3.62	7.3	0.24	5	1.1	0.01	0.05	2,3,4	52.2			
2025-02-12 00:00:00	2300.0	5.26	2	53.7	32	340	7	0.06	3.83	7.3	0.24	5	1.1	0.01	0.05	2,3,4	52.4			
2025-02-12 00:00:00	100.0	2.31	2	53.4	30	324	7	0.04	3.83	7.3	0.24	5	1.1	0.01	0.05	2,3,4	52.1			
2025-02-12 00:00:00	300.0	5.4	2	53.0	30	324	7	0.06	3.83	7.3	0.23	5	1	0.01	0.05	2,3,4	52.5			
2025-02-12 00:00:00	500.0	5.57	2	53.2	26	280	7	0.06	3.83	7.3	0.22	5	1	0.01	0.05	2,3,4	52.3			
2025-03-12 00:00:00	700.0	5.6	2	55.4	107	1007	7	0.08	3.83	7.3	0.24	5	1.1	-	0.06	2,3,4	52.4			
2025-03-12 00:00:00	900.0	5.51	2	54.2	84	840	7	0.08	3.84	7.3	0.24	5	1.1	-	0.06	2,3,4	52.1			
2025-03-12 00:00:00	1100.0	5.29	2	54.1	75	750	7	0.08	3.84	7.3	0.25	5	1.1	-	0.06	2,3,4	52.0			
2025-03-12 00:00:00	1300.0	5.14	2	54.6	68	680	7	0.08	3.84	7.3	0.25	5	1	-	0.06	2,3,4	52.0			B/W No.1,6
2025-03-12 00:00:00	1500.0	5.04	2	54.2	68	680	7	0.07	3.83	7.3	0.26	5	1	-	0.06	2,3,4	52.1			
2025-03-12 00:00:00	1700.0	4.86	2	54.3	49	503	7	0.05	3.83	7.3	0.26	5	1	-	0.06	2,3,4	52.0			
2025-03-12 00:00:00	1900.0	4.92	2	54.2	49	503	7	0.04	3.83	7.3	0.26	5	1	-	0.06	2,3,4	52.2			B/W 2,5
2025-03-12 00:00:00	2100.0	4.98	2	54.4	51	522	7	0.04	3.65	7.3	0.27	5	1.1	-	0.06	2,3,4	52.2			
2025-03-12 00:00:00	2300.0	5.14	2	54.3	36	328	7	0.04	3.82	7.3	0.26	5	1.2	-	0.06	2,3,4	52.6			B/W No.3&4
2025-03-12 00:00:00	100.0	5.25	2	54.6	36	328	7	0.04	3.7	7.3	0.24	5	1.2	-	0.06	2,3,4	52.0			
2025-03-12 00:00:00	300.0	5.23	2	54.2	35	327	7	0.04	3.82	7.3	0.23	5	1.2	-	0.06	2,3,4	50.3			
2025-03-12 00:00:00	500.0	5.2	2	54.0	33	324	7	0.04	3.84	7.3	0.23	5	1.3	-	0.06	2,3,4	51.5			
2025-04-12 00:00:00	700.0	5.29	2	54.1	104	1004	7	0.04	3.84	7.3	0.23	5	1.1	0.01	0.06	2,3,4	52.0			
2025-04-12 00:00:00	900.0	5.36	2	54.8	62	620	7	0.04	3.85	7.3	0.23	5	1	0.01	0.06	2,3,4	51.9			
