Data	Time	River Level	Unnamed: 3	R/W FLOW	R/W NTU	R/W CLR	Unnamed: 7	FILT. NTU	C/W WELL LEVEL	Unnamed: 10	NTU	CLR	Unnamed: 13	T/W FLOW	Unnamed: 15
2025-07-01	700	4.21		47.8	62	625		0.11	3.62		0.45	5		44.2	
2025-07-01	900	4.19		47.8	56	570		0.23	3.81		0.61	5		44.4	
2025-07-01	1100	4.18		47.7	54	380		0.27	3.8		0.59	5		44.3	
2025-07-01	1300	4.16		47.8	51	380		0.46	3.79		0.56	5		44.4	
2025-07-01	1500	4.08		47.8	37	355		0.39	3.82		0.64	5		44.5	
2025-07-01	1700	3.8		48.5	33	270		0.39	3.6		0.67	5		44.5	
2025-07-01	1900	3.75		50.5	32	255		0.37	3.78		0.67	5		44.6	
2025-07-01	2100	3.73		50.7	29	231		0.32	3.84		0.67	5		44.6	
2025-07-01	2300	3.68		48.5	27	214		0.25	3.8		0.65	5		44.6	
2025-07-01	100	3.62		48.8	26	194		0.08	3.8		0.5	5		44.6	
2025-07-01	300	3.57		48.5	24	184		0.08	3.8		0.5	5		44.5	
2025-07-01	500	3.54		48.5	22	164		0.08	3.56		0.5	5		44.6	
2025-07-02	700	3.52		48.4	22	260		0.08	3.67		0.48	5		44.5	
2025-07-02	900	3.5		48.5	21	260		0.14	3.78		0.66	5		44.6	
2025-07-02	1100	3.47		48.5	21	260		0.08	3.78		0.58	5		44.6	
2025-07-02	1300	3.45		48.4	19	250		0.07	3.79		0.48	5		44.5	
2025-07-02	1500	3.5		48.2	36	325		0.06	3.82		0.45	5		44.9	
2025-07-02	1700	3.38		53.5	25	240		0.06	3.77		0.44	5		44.8	
2025-07-02	1900	3.37		52.8	23	238		0.06	3.83		0.44	5		45.8	
2025-07-02	2100	3.38		49.7	21	225		0.06	3.82		0.44	5		45.7	
2025-07-02	2300	3.38		48.5	20	208		0.06	3.82		0.44	5		45.6	
2025-07-02	100	3.34		48.5	20	208		0.05	3.82		0.45	5		45.4	
2025-07-02	300	3.35		48.5	21	208		0.05	3.82		0.45	5		45.4	
2025-07-02	500	3.35		48.5	21	208		0.05	3.82		0.48	5		45.3	
2025-07-03	700	3.37		48.6	21	200		0.06	3.79		0.48	5		45.6	
2025-07-03	900	3.38		48.5	20	200		0.06	3.79		0.47	5		45.4	
2025-07-03	1100	3.36		49.3	20	200		0.06	3.79		0.46	5		45.3	
2025-07-03	1300	3.35		49.3	19	200		0.06	3.79		0.46	5		45.6	
2025-07-03	1500	3.78		48.9	17	195		0.06	3.82		0.47	5		45.5	
2025-07-03	1700	3.71		48.8	18	197		0.06	3.82		0.47	5		45.5	
2025-07-03	1900	3.71		48.1	19	200		0.06	3.81		0.48	5		45.3	
2025-07-03	2100	3.67		48.8	18	200		0.06	3.81		0.48	5		45.3	
2025-07-03	2300	3.63		48.7	18	198		0.06	3.81		0.47	5		45.2	
2025-07-03	100	3.61		48.5	20	201		0.06	3.8		0.47	5		45.2	
2025-07-03	300	3.67		48.5	21	214		0.06	3.8		0.47	5		45.1	
2025-07-03	500	3.73		47.9	24	232		0.06	3.8		0.47	5		45.1	
2025-07-04	700	3.72		48.8	27	260		0.07	3.75		0.47	5		44.5	
2025-07-04	900	3.73		48.4	39	350		0.07	3.75		0.47	5		44.6	
2025-07-04	1100	3.74		48.4	39	350		0.07	3.78		0.47	5		44.8	
2025-07-04	1300	3.76		48.5	112	700		0.07	3.76		0.6	5		44.8	
2025-07-04	1500	5.17		50.0	96	670		0.07	3.81		0.58	5		45.1	
2025-07-04	1700	5.09		52.1	70	551		0.06	3.75		0.51	5		45.4	
2025-07-04	1900	4.95		48.8	67	535		0.06	3.8		0.51	5		45.5	
2025-07-04	2100	4.87		48.1	59	480		0.06	3.81		0.5	5		45.7	
2025-07-04	2300	4.82		48.5	54	510		0.06	3.81		0.5	5		45.6	
2025-07-04	100	4.9		48.5	50	491		0.06	3.78		0.5	5		45.5	
2025-07-04	300	4.95		48.4	48	472		0.06	3.78		0.47	5		45.5	
2025-07-04	500	5		48.4	45	441		0.06	3.78		0.46	5		45.5	
2025-07-05	700	5.02		48.3	40	380		0.06	3.75		0.47	5		45.6	
2025-07-05	900	5.03		48.4	40	380		0.06	3.81		0.47	5		45.6	
2025-07-05	1100	5.06		48.5	44	400		0.07	3.81		0.47	5		45.5	
2025-07-05	1300	5.1		48.6	46	400		0.08	3.79		0.51	5		45.6	
2025-07-05	1500	4.99		49.0	45	385		0.09	3.82		0.52	5		45.2	
2025-07-05	1700	4.93		48.9	49	385		0.07	3.83		0.54	5		45.3	
2025-07-05	1900	4.88		48.8	53	410		0.06	3.82		0.52	5		45.1	
2025-07-05	2100	4.89		48.7	51	405		0.06	3.82		0.51	5		45.4	
2025-07-05	2300	4.81		48.5	48	428		0.06	3.82		0.51	5		45.4	
2025-07-05	100	4.68		48.4	40	380		0.07	3.8		0.5	5		45.3	
2025-07-05	300	4.57		48.4	37	347		0.07	3.8		0.49	5		45.3	
2025-07-05	500	4.51		48.4	30	312		0.07	3.8		0.49	5		45.3	
2025-07-06	700	4.5		48.4	29	312		0.07	3.81		0.49	5		45.2	
2025-07-06	900	4.52		48.4	27	311		0.07	3.82		0.49	5		45.2	
2025-07-06	1100	4.5		48.3	28	312		0.07	3.81		0.49	5		45.4	
2025-07-06	1300	4.5		48.4	28	312		0.07	3.51		0.52	5		45.1	
2025-07-06	1500	4.04		50.8	27	310		0.12	3.68		0.64	5		45.3	
2025-07-06	1700	3.99		50.5	27	310		0.09	3.76		0.63	5		45.4	
2025-07-06	1900	3.96		50.2	28	312		0.05	3.83		0.54	5		45.3	
2025-07-06	2100	3.93		49.9	26	305		0.04	3.71		0.53	5		45.1	
2025-07-06	2300	3.89		48.5	26	305		0.04	3.81		0.52	5		45.2	
