Data	Time	River Level	Unnamed: 3	R/W FLOW	R/W NTU	R/W CLR	Unnamed: 7	FILT. NTU	C/W WELL LEVEL	Unnamed: 10	NTU	CLR	Unnamed: 13	T/W FLOW	Unnamed: 15
2025-06-01	700	3.83		48.2	13	164		0.04	3.51		0.17	5		44.5	
2025-06-01	900	3.67		48.4	14	170		0.04	3.65		0.17	5		44.4	
2025-06-01	1100	3.63		48.1	13	161		0.04	3.81		0.17	5		45.1	
2025-06-01	1300	3.91		48	13	161		0.04	3.61		0.15	5		45.2	
2025-06-01	1500	4.13		48	13	161		0.04	3.69		0.16	5		45.2	
2025-06-01	1700	3.66		48.2	14	170		0.04	3.82		0.15	5		45.2	
2025-06-01	1900	3.61		48	13	161		0.04	3.82		0.15	5		45.0	
2025-06-01	2100	3.58		48	12	152		0.04	3.82		0.15	5		45.0	
2025-06-01	2300	3.88		47.8	13	161		0.04	3.82		0.15	5		45.0	
2025-06-01	100	3.88		47.8	12	152		0.04	3.78		0.16	5		45.0	
2025-06-01	300	3.88		47.8	11	141		0.03	3.78		0.16	5		45.0	
2025-06-01	500	3.54		48	11	141		0.03	3.78		0.16	5		45.0	
2025-06-02	700	3.54		49.1	11	141		0.04	3.8		0.17	5		45.2	
2025-06-02	900	3.51		49	11	141		0.03	3.79		0.17	5		45.8	
2025-06-02	1100	3.52		49	11	141		0.03	3.78		0.17	5		45.7	
2025-06-02	1300	3.53		49.2	11	141		0.03	3.8		0.16	5		45.9	
2025-06-02	1500	3.65		49	11	141		0.03	3.8		0.16	5		45.5	
2025-06-02	1700	3.57		49	11	141		0.03	3.82		0.16	5		45.1	
2025-06-02	1900	3.58		48	15	175		0.03	3.75		0.16	5		45.0	
2025-06-02	2100	3.55		48	13	143		0.03	3.78		0.16	5		45.0	
2025-06-02	2300	3.53		48	13	143		0.03	3.78		0.16	5		45.0	
2025-06-02	100	3.52		47.5	12	123		0.03	3.78		0.17	5		45.1	
2025-06-02	300	3.52		47.5	12	123		0.03	3.78		0.17	5		45.1	
2025-06-02	500	3.51		48	11	124		0.03	3.36		0.17	5		45.0	
2025-06-03	700	3.51		48	15	175		0.04	3.47		0.17	5		44.2	
2025-06-03	900	3.48		48.2	11	141		0.04	3.65		0.17	5		44.7	
2025-06-03	1100	3.45		48.2	11	141		0.04	3.83		0.17	5		44.7	
2025-06-03	1300	3.84		48.5	8	100		0.04	3.65		0.17	5		44.7	
2025-06-03	1500	4.68		48	8	100		0.04	3.83		0.17	5		44.7	
2025-06-03	1700	3.48		48.2	8	100		0.04	3.83		0.16	5		44.7	
2025-06-03	1900	3.46		48	10	121		0.04	3.82		0.16	5		44.9	
2025-06-03	2100	3.46		48	10	121		0.04	3.82		0.16	5		45.0	
2025-06-03	2300	3.44		48	10	121		0.04	3.82		0.16	5		45.0	
2025-06-03	100	3.48		47.8	13	143		0.04	3.82		0.17	5		45.0	
2025-06-03	300	3.54		47.5	19	174		0.04	3.82		0.17	5		45.0	
2025-06-03	500	3.61		48	23	200		0.04	3.36		0.17	5		45.0	
2025-06-04	700	3.7		48.8	20	194		0.04	3.48		0.18	5		44.7	
2025-06-04	900	3.73		48.8	17	190		0.04	3.67		0.18	5		44.8	
2025-06-04	1100	3.9		49	27	245		0.04	3.83		0.18	5		44.8	
2025-06-04	1300	4.0		49.2	21	200		0.04	3.82		0.17	5		45.0	
2025-06-04	1500	4.06		48.8	21	200		0.04	3.83		0.17	5		45.0	
2025-06-04	1700	4.19		48.6	20	196		0.04	3.82		0.17	5		45.0	
2025-06-04	1900	4.3		48.2	21	200		0.04	3.8		0.17	5		44.9	
2025-06-04	2100	4.35		48	18	184		0.04	3.8		0.17	5		45.0	
2025-06-04	2300	4.39		48	16	154		0.04	3.8		0.17	5		45.0	
2025-06-04	100	4.42		47.8	20	194		0.04	3.78		0.17	5		45.0	
2025-06-04	300	4.46		47.8	22	210		0.04	3.78		0.18	5		45.0	
2025-06-04	500	4.51		47.6	27	248		0.05	3.76		0.18	5		45.0	
2025-06-05	700	4.48		47.4	30	250		0.05	3.8		0.19	5		44.7	
2025-06-05	900	4.43		48	30	250		0.04	3.8		0.19	5		44.7	
2025-06-05	1100	4.23		48.2	30	250		0.04	3.8		0.19	5		44.8	
2025-06-05	1300	4.3		48.3	30	250		0.04	3.8		0.17	5		45.1	
2025-06-05	1500	4.4		48.5	30	250		0.04	3.81		0.17	5		45.1	
2025-06-05	1700	4.4		48.5	28	245		0.04	3.82		0.17	5		45.1	
2025-06-05	1900	4.28		48	26	221		0.04	3.8		0.17	5		45.0	
2025-06-05	2100	4.15		48	25	204		0.04	3.78		0.17	5		45.0	
2025-06-05	2300	4.09		48	23	194		0.04	3.6		0.17	5		45.0	
2025-06-05	100	4.0		47.8	22	183		0.04	3.82		0.17	5		45.0	
2025-06-05	300	3.9		47.7	22	183		0.04	3.82		0.17	5		45.0	
2025-06-05	500	3.82		48	20	175		0.04	3.36		0.17	5		45.0	
2025-06-06	700	3.8		48.2	19	162		0.07	3.49		0.19	5		44.5	
2025-06-06	900	3.75		48	19	162		0.06	3.8		0.18	5		44.6	
2025-06-06	1100	3.79		48	17	152		0.06	3.29		0.18	5		44.7	
2025-06-06	1300	3.63		48	20	172		0.06	3.48		0.17	5		44.8	
2025-06-06	1500	3.74		48.8	19	162		0.06	3.52		0.17	5		43.2	
2025-06-06	1700	3.72		48.9	11	141		0.06	3.62		0.17	5		43.2	
2025-06-06	1900	3.8		48.9	11	141		0.06	3.81		0.21	5		43.3	
2025-06-06	2100	3.88		48.9	11	141		0.04	3.81		0.2	5		43.3	
2025-06-06	2300	3.98		53.5	11	143		0.04	3.45		0.19	5		45.1	
2025-06-06	100	4.07		50.5	30	315		0.04	3.67		0.17	5		45.0	
2025-06-06	300	4.12		50.3	27	293		0.04	3.76		0.17	5		45.1	
2025-06-06	500	4.19		50.1	23	274		0.04	3.81		0.17	5		44.9	
2025-06-07	700	4.17		49.5	20	209		0.04	3.83		0.18	5		45.5	 
2025-06-07	900	4.17		51.2	17	198		0.04	3.84		0.18	5		45.3	
2025-06-07	1100	4.07		50.8	27	310		0.04	3.83		0.18	5		45.6	
2025-06-07	1300	4.0		49.6	23	226		0.04	3.83		0.18	5		45.5	
2025-06-07	1500	4.02		49.8	42	360		0.04	3.69		0.18	5		45.6	
2025-06-07	1700	3.92		49.9	33	320		0.04	3.81		0.19	5		43.6	
2025-06-07	1900	3.9		49.9	33	320		0.04	3.82		0.19	5		43.0	
2025-06-07	2100	3.84		49.8	23	274		0.04	3.82		0.19	5		43.0	
2025-06-07	2300	3.83		49.8	28	298		0.04	3.84		0.19	5		44.5	
2025-06-07	100	3.68		50.5	24	255		0.04	3.84		0.18	5		44.5	
2025-06-07	300	3.64		50.1	21	204		0.04	3.83		0.18	5		44.4	
2025-06-07	500	3.6		50	19	170		0.04	3.83		0.17	5		44.4	
2025-06-08	700	3.6		48.6	22	214		0.04	3.81		0.17	5		44.0	
2025-06-08	900	3.61		48.4	20	199		0.04	3.82		0.17	5		44.0	
2025-06-08	1100	3.52		47.8	21	184		0.04	3.56		0.17	5		44.2	
2025-06-08	1300	3.51		48	22	218		0.04	3.66		0.18	5		44.2	
2025-06-08	1500	3.51		48.2	26	268		0.04	3.72		0.18	5		44.3	
2025-06-08	1700	3.48		48.4	18	196		0.04	3.73		0.18	5		44.5	
2025-06-08	1900	3.48		48.4	19	204		0.04	3.56		0.18	5		44.5	
2025-06-08	2100	3.62		48.3	18	196		0.04	3.66		0.18	5		44.5	
2025-06-08	2300	3.49		48.4	19	204		0.04	3.72		0.18	5		44.5	
2025-06-08	100	3.46		47.7	20	210		0.04	3.78		0.17	5		44.5	
2025-06-08	300	3.44		47.6	19	205		0.04	3.76		0.17	5		44.5	
2025-06-08	500	3.42		47.2	18	201		0.04	3.76		0.17	5		44.5	
2025-06-09	700	3.59		49.7	16	190		0.05	3.71		0.18	5		43.0	
2025-06-09	900	3.6		49.9	17	190		0.05	3.41		0.18	5		43.0	
2025-06-09	1100	3.59		48.9	23	274		0.05	3.68		0.18	5		42.9	
2025-06-09	1300	3.56		48.4	25	280		0.05	3.8		0.18	5		42.8	
2025-06-09	1500	3.55		48.3	21	234		0.07	3.88		0.22	5		44.2	
2025-06-09	1700	3.41		48.1	47	370		0.06	3.83		0.2	5		44.2	
