DATE	TIME	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
2025-01-03 00:00:00	700	4.97	2.0	44.1	23	200	7.0	0.23	3.32	7.3	0.23	5	1.6	-	0.06	2,3	42.2	-	-	B/W filter no 2&6 (2.45am)
2025-01-03 00:00:00	900	5.09	2.0	45.7	23	200	7.0	0.04	3.11	7.3	0.23	5	1.6	-	0.06	2,3	42.1	-	-	
2025-01-03 00:00:00	1100	5.12	2.0	45.7	23	200	7.0	0.04	3.05	7.3	0.22	5	1.6	-	0.06	2,3	41.6	-	-	
2025-01-03 00:00:00	1300	5.01	2.0	47.2	30	250	7.0	0.03	3.01	7.3	0.23	5	1.6	-	0.06	2,3	41.7	-	-	
2025-01-03 00:00:00	1500	4.72	2.0	46.0	25	230	7.0	0.04	3.21	7.3	0.23	5	1.6	-	0.06	2,3	39.4	-	-	
2025-01-03 00:00:00	1700	4.67	2.0	45.8	23	200	7.0	0.04	3.5	7.3	0.15	5	1.6	-	0.06	2,3	40.4	-	-	
2025-01-03 00:00:00	1900	4.63	2.0	45.0	27	235	7.0	0.04	3.61	7.3	0.14	5	1.5	-	0.06	2,3	41.0	-	-	
2025-01-03 00:00:00	2100	4.64	2.0	44.9	25	230	7.0	0.04	3.68	7.3	0.14	5	1.5	-	0.06	2,3	41.1	-	-	
2025-01-03 00:00:00	2300	4.87	2.0	44.8	26	232	7.0	0.04	3.68	7.3	0.13	5	1.5	-	0.06	2,3	41.0	-	-	
2025-01-03 00:00:00	100	4.99	2.0	44.7	24	220	7.0	0.04	3.68	7.3	0.12	5	1.5	-	0.06	2,3	41.1	-	-	
2025-01-03 00:00:00	300	5.17	2.0	44.5	22	208	7.0	0.04	3.71	7.3	0.12	5	1.5	-	0.06	2,3	41.0	-	-	
2025-01-03 00:00:00	500	5.25	2.0	44.5	21	192	7.0	0.04	3.7	7.3	0.12	5	1.5	-	0.06	2,3	41.0	-	-	
2025-02-03 00:00:00	700	5.26	2.0	44.3	30	250	7.0	0.04	3.82	7.3	0.12	5	1.4	-	0.06	2,3	41.5	-	-	
