Data	Time	River Level	Unnamed: 3	R/W FLOW	R/W NTU	R/W CLR	Unnamed: 7	FILT. NTU	C/W WELL LEVEL	Unnamed: 10	NTU	CLR	Unnamed: 13	T/W FLOW	Unnamed: 15
2025-05-01	700	4.92		48.9	35	314		0.23	3.65		0.19	5		43.3	
2025-05-01	900	4.91		48.7	37	320		0.05	3.76		0.21	5		43.1	
2025-05-01	1100	5.05		48.6	35	314		0.04	3.76		0.19	5		43.1	
2025-05-01	1300	5.14		49.2	34	314		0.04	3.71		0.2	5		43.0	
2025-05-01	1500	5.1		47.8	34	351		0.04	3.71		0.19	5		45.0	
2025-05-01	1700	5.04		48.3	31	345		0.04	3.51		0.2	5		44.9	
2025-05-01	1900	4.97		47.8	29	312		0.03	3.42		0.2	5		44.7	
2025-05-01	2100	4.93		49.1	29	310		0.04	3.38		0.19	5		44.4	
2025-05-01	2300	4.98		49.2	30	329		0.04	3.34		0.19	5		44.4	
2025-05-01	100	5.22		49.8	41	376		0.04	3.45		0.19	5		44.2	
2025-05-01	300	5.4		49.8	45	392		0.04	3.54		0.19	5		44.3	
2025-05-01	500	5.69		49.8	50	414		0.04	3.68		0.19	5		44.5	
2025-05-02	700	5.69		49.2	50	414		0.06	3.67		0.19	5		43.2	
2025-05-02	900	5.7		49.6	50	414		0.06	3.68		0.19	5		43.2	
2025-05-02	1100	5.63		49.7	100	975		0.06	3.79		0.2	5		43.5	
2025-05-02	1300	5.68		49.8	73	742		0.05	3.75		0.23	5		45.1	
2025-05-02	1500	5.71		52.2	73	742		0.06	3.77		0.22	5		50.5	
2025-05-02	1700	5.58		48.5	61	532		0.06	3.79		0.22	5		44.4	
2025-05-02	1900	5.51		47.9	57	480		0.05	3.82		0.22	5		44.3	
2025-05-02	2100	5.53		48.8	54	465		0.06	3.83		0.22	5		44.3	
2025-05-02	2300	5.61		48.2	50	414		0.06	3.83		0.22	5		44.0	
2025-05-02	100	5.13		48.2	45	400		0.09	3.82		0.22	5		44.0	
2025-05-02	300	6.07		48.1	49	404		0.09	3.82		0.22	5		44.0	
2025-05-02	500	6.43		48.0	50	414		0.22	3.8		0.22	5		44.0	
2025-05-03	700	6.3		48.4	96	896		0.31	3.81		0.22	5		42.8	
2025-05-03	900	6.21		48.4	102	920		0.09	3.78		0.27	5		42.8	
