DATE	TIME	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
45668	700.0	4.18	1	52.5	8	80	7	0.05	3.84	7.3	0.15	5	1.7	0.01	0.05	2&4	47.3			
45668	900.0	4.21	1	52.5	9	91	7	0.05	3.84	7.3	0.15	5	1.7	0.01	0.05	2&4	47.3			
45668	1100.0	4.23	1	53.0	10	104	7	0.05	3.84	7.3	0.15	5	1.5	0.01	0.05	2&4	47.1			
45668	1300.0	4.26	1	53.0	10	104	7	0.03	3.84	7.3	0.15	5	1.4	0.01	0.05	2+4	47.4			
45668	1500.0	4.25	1	52.8	10	104	7	0.04	3.84	7.3	0.17	5	1.4	100.0	0.05	2+4	47.1			
45668	1700.0	4.16	1	52.4	10	104	7	0.04	3.84	7.3	0.15	5	1.8	100.0	0.05	2+4	47.3			
45668	1900.0	4.15	1	52.3	12	126	7	0.04	3.83	7.3	0.2	5	1.8	0.01	0.05	2+4	47.3			
45668	2100.0	4.16	2	52.4	15	161	7	0.04	3.84	7.3	0.19	5	1.7	0.01	0.05	2&4	47.3			
45668	2300.0	3.9	2	51.3	18	195	7	0.06	3.83	7.3	0.2	5	2.1	100.0	0.05	2&4	47			
45668	100.0	3.87	2	52.0	18	195	7	0.05	3.7	7.3	0.19	5	2.0	100.0	0.05	2&4	47.1			
45668	300.0	3.84	2	51.5	18	195	7	0.05	3.79	7.3	0.18	5	2.0	100.0	0.05	2&4	47.3			
45668	500.0	3.88	2	51.4	17	189	7	0.04	3.83	7.3	0.17	5	2.3	100.0	0.05	2&4	47.2			
45699	700.0	4.0	2	51.5	15	161	7	0.04	3.82	7.3	0.17	5	1.5	0.01	0.05	2&4	47.2			
45699	900.0	4.83	2	51.6	17	187	7	0.04	3.82	7.3	0.17	5	1.5	0.01	0.05	2&4	47.2			
45699	1100.0	4.81	2	51.6	12	126	7	0.04	3.82	7.3	0.15	5	1.5	0.01	0.05	2&4	47			
45699	1300.0	3.75	2	51.4	12	126	7	0.04	3.84	7.3	0.18	5	1.4	0.01	0.05	2&4	37			
45699	1500.0	3.74	2	51.3	14	138	7	0.04	3.83	7.3	0.18	5	1.4	0.01	0.05	2+3	47.1			
45699	1700.0	3.65	2	51.3	14	138	7	0.04	3.83	7.3	0.19	5	1.4	0.01	0.05	2+3	47			
45699	1900.0	3.69	2	57.6	12	126	7	0.04	3.77	7.3	0.19	5	1.3	0.01	0.05	2+3	47.2			
45699	2100.0	3.6	2	51.2	16	190	7	0.04	3.84	7.3	0.19	5	1.7	0.01	0.05	2+3	47.2			
45699	2300.0	3.72	2	52.8	54	465	7	0.04	3.84	7.3	0.19	5	1.5	0.01	0.05	2&4	47			
45699	100.0	3.69	2	52.6	30	300	7	0.04	3.84	7.3	0.19	5	1.6	0.01	0.05	2&4	47.1			
45699	300.0	3.65	2	52.5	25	250	7	0.06	3.84	7.3	0.18	5	1.7	0.01	0.05	2&4	47.2			
45699	500.0	3.64	2	52.3	21	210	7	0.06	3.84	7.3	0.18	5	1.7	0.01	0.05	2&4	47.2			
45727	700.0	3.82	2	52.4	18	195	7	0.05	3.82	7.3	0.18	5	1.7	0.01	0.06	2&3	48.1			
45727	900.0	3.69	2	52.3	22	248	7	0.05	3.83	7.3	0.18	5	1.8	0.01	0.06	2&3	48.1			
45727	1100.0	3.57	2	52.4	38	379	7	0.05	3.83	7.3	0.19	5	1.8	0.01	0.06	2&3	47			
45727	1300.0	3.52	2	52.1	41	381	7	0.05	3.81	7.3	0.21	5	1.8	0.01	0.06	2&3	47.6			
45727	1500.0	3.56	2	53.4	46	434	7	0.05	3.72	7.3	0.27	5	1.8	0.01	0.05	2&3	47.5			
45727	1700.0	3.7	2	52.7	33	415	7	0.05	3.78	7.3	0.25	5	1.6	0.01	0.05	2&3	47.6			
45727	1900.0	4.05	2	52.1	25	330	7	0.06	3.83	7.3	0.21	5	1.5	0.01	0.05	2&3	47.6			
45727	2100.0	4.09	2	52.1	37	421	7	0.03	3.79	7.3	0.21	5	1.5	0.01	0.05	2&3	47.5			
45727	2300.0	4.09	2	51.9	56	710	7	0.04	3.83	7.3	0.21	5	1.4	0.01	0.05	2+3	47.5			
45727	100.0	4.21	2	52.0	54	556	7	0.04	3.83	7.3	0.21	5	1.6	0.01	0.05	2+3	47.5			
45727	300.0	4.58	2	52.1	49	508	7	0.04	3.83	7.3	0.21	5	1.6	0.01	0.05	2+3	47.2			
45727	500.0	4.77	2	52.0	42	437	7	0.03	3.83	7.3	0.21	5	1.7	0.01	0.05	2+3	47.2			
45758	700.0	4.74	2	52.0	42	437	7	0.04	3.84	7.3	0.21	5	1.8	0.01	0.05	2+3	47.4			
45758	900.0	4.72	2	52.2	40	426	7	0.04	3.75	7.3	0.21	5	1.6	0.01	0.05	2+3	47.3			
45758	1100.0	4.82	2	52.5	47	380	7	0.04	3.79	7.3	0.24	5	1.5	0.01	0.05	2+3	47.3			
45758	1300.0	4.7	2	52.0	51	400	7	0.04	3.84	7.3	0.24	5	1.5	0.01	0.05	2+3	47.4			
45758	1500.0	4.5	2	51.5	63	548	7	0.04	3.83	7.3	0.24	5	1.2	0.01	0.05	2&3	47.3			
45758	1700.0	4.3	2	51.2	45	495	7	0.04	3.83	7.3	0.25	5	1.2	0.01	0.05	2&3	47.4			
45758	1900.0	4.36	2	51.4	44	471	7	0.04	3.84	7.3	0.25	5	1.3	0.01	0.05	2&3	47.4			
