DATE	TIME	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
45667	700.0	4.19	1	52.6	22	200	7	0.07	3.84	7.3	0.41	5	1.4	-	0.06	2+4	47.4			
45667	900.0	4.16	1	52.7	25	224	7	0.07	3.81	7.3	0.41	5	1.4	-	0.06	1+4	47.3			
45667	1100.0	4.12	1	52.6	23	214	7	0.07	3.81	7.3	0.42	5	1.4	-	0.06	2+4	47.1			
45667	1300.0	4.07	1	52.4	23	214	7	0.07	3.82	7.3	0.43	5	1.4	-	0.06	2+4	47.8			
45667	1500.0	4.04	1	52.6	23	214	7	0.08	3.83	7.3	0.44	5	1.1	-	0.06	2+4	48.3			
45667	1700.0	3.95	1	52.1	24	220	7	0.1	3.83	7.3	0.44	5	1.3	-	0.06	2+4	48.3			
45667	1900.0	3.93	1	52.1	24	220	7	0.1	3.83	7.3	0.44	5	1.4	-	0.06	2+4	48.3			
45667	2100.0	3.92	1	53.5	23	214	7	0.11	3.83	7.3	0.44	5	1.4	-	0.06	2+4	48.2			
45667	2300.0	3.89	1	52.4	23	214	7	0.04	3.78	7.3	0.44	5	1.4	-	0.06	2+4	48.2			
45667	100.0		1	52.6	23	214	7	0.04	3.81	7.3	0.43	5	1.4	-	0.06	2+4	48.3			
45667	300.0		1	52.5	23	214	7	0.04	3.81	7.3	0.43	5	1.4	-	0.06	2+4	48.2			
45667	500.0		1	52.2	23	214	7	0.04	3.81	7.3	0.43	5	1.4	-	0.06	2+4	48.2			
45698	700.0	3.66	1	52.1	18	180	7	0.06	3.84	7.3	0.47	5	1.4	-	0.06	2+4	47.9			
45698	900.0	3.62	1	52.2	18	180	7	0.08	3.58	7.3	0.47	5	1.4	-	0.06	2+4	47.8			
45698	1100.0	3.56	1	52.1	17	180	7	0.05	3.78	7.3	0.43	5	1.2	-	0.06	2+4	48.1			
45698	1300.0	3.49	1	52.6	17	180	7	0.1	3.77	7.3	0.43	5	1.2	-	0.06	2+4	48.2			
45698	1500.0	4.06	1	50.3	15	142	7	0.08	3.76	7.3	0.43	5	1	-	0.06	2+4	48.0			
45698	1700.0	3.48	2	52.5	17	180	7	0.08	2.74	7.3	0.75	5	1	-	0.06	2+4	47.4			
45698	1900.0	3.46	2	53.5	14	134	7	0.09	2.84	7.3	0.78	5	1.5	-	0.06	2+4	47.4			
45698	2100.0	3.48	2	53.8	16	174	7	0.09	3.04	7.3	0.79	5	1.5	-	0.06	2+4	47.4			
45698	2300.0	3.49	2	53.6	16	174	7	0.09	3.16	7.3	0.54	5	1.5	-	0.06	2+4	47.4			
45698	100.0	3.5	2	53.5	15	148	7	0.09	3.48	7.3	0.55	5	1.5	-	0.06	2+4	47.3			
45698	300.0	3.82	2	53.4	15	148	7	0.1	3.69	7.3	0.5	5	1.5	-	0.06	2+4	47.4			
45698	500.0	3.46	2	53.5	13	130	7	0.12	3.81	7.3	0.51	5	1.5	-	0.06	1+4	47.4			
45726	700.0	5.14	2	52.1	42	430	7	0.33	3.84	7.3	0.59	5	1.4	-	0.06	2+4	48.0			
45726	900.0	5.54	2	52.2	156	960	7	0.3	3.84	7.3	0.6	5	1.4	-	0.06	2+4	47.9			
45726	1100.0	5.78	2	52.4	120	940	7	0.41	3.64	7.3	0.61	5	1.4	-	0.06	2+4	47.7			
45726	1300.0	5.82	2	52.3	99	901	7	0.75	3.46	7.3	0.64	5	1.4	-	0.06	2+4	47.9			
45726	1500.0	5.8	2	52.9	89	870	7	0.8	3.47	7.3	0.74	5	1.6	-	0.06	2+4	47.6			
45726	1700.0	5.75	2	52.9	58	437	7	1.0	3.43	7.3	1.41	5	1.8	-	0.06	2+4	47.8			
45726	1900.0	5.78	2	53.5	52	401	7	0.62	3.54	7.3	1.34	5	1.6	-	0.06	2+4	47.8			
45726	2100.0	5.69	2	53.4	47	384	7	0.58	3.55	7.3	1.17	5	1.7		0.06	2+4	47.7			
45726	2300.0	5.72	2	53.5	46	384	7	1.34	3.7	7.3	0.83	5	1.7	-	0.06	2+4	47.8			
45726	100.0		2	53.4	46	384	7	1.02	3.65	7.3	0.62	5	1.6	-	0.06	2+4	47.8			
45726	300.0		2	53.5	43	350	7	0.95	3.25	7.3	0.54	5	1.6	-	0.06	2+4	47.8			
45726	500.0		2	53.5	38	316	7	0.93	3.81	7.3	0.48	5	1.6	-	0.06	2+4	47.6			
45757	700.0	4.89	2	52.4	44	387	7	2.44	3.46	7.0	1.5	5	1.7	-	0.06	2+4	47.5			
45757	900.0	4.83	2	53.0	45	391	7	3.23	3.51	7.0	1.68	5	1.6	-	0.06	2+4	47.6			
45757	1100.0	4.65	2	52.7	44	386	7	0.54	3.36	7.0	1.75	5	1.5	-	0.06	2+4	47.6			
45757	1300.0	4.57	2	53.3	43	371	7	0.69	3.39	7.0	1.22	5	1.5	-	0.06	2+4	47.8			
45757	1500.0	4.46	2	53.3	37	324	7	0.55	3.46	7.0	1.06	5	1.4	-	0.06	2+4	47.7			
45757	1700.0	4.34	1	53.5	33	304	7	0.54	3.61	7.0	0.97	5	1.4	-	0.06	2+4	47.8			
45757	1900.0	4.31	1	53.6	34	310	7	0.58	3.88	7.0	0.99	5	1.6	-	0.06	2+4	48.6			
45757	2100.0	4.34	1	53.6	30	294	7	0.84	3.68	7.0	1.08	5	1.5	-	0.06	2+4	48.3			
