DATE	TIME	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
2025-01-09 00:00:00	700.0	3.5	2	53.2	29	330	7	0.1	3.8	7.3	0.23	5	1.5	-	0.05	2&4	48.0			
2025-01-09 00:00:00	900.0	-	2	53.2	33	350	7	0.11	3.81	7.3	0.27	5	1.3	-	0.05	2&4	48.0			
2025-01-09 00:00:00	1100.0	-	2	53.2	32	350	7	0.1	3.8	7.3	0.28	5	1.3	-	0.05	2&4	48.0			
2025-01-09 00:00:00	1300.0	-	2	53.2	34	380	7	0.12	3.81	7.3	0.24	5	1.6	-	0.05	2&4	48.0			
2025-01-09 00:00:00	1500.0	3.45	2	52.8	41	380	7	0.11	3.83	7.3	0.24	5	1.2	-	0.05	2&4	47.9			
2025-01-09 00:00:00	1700.0	3.43	2	56.3	28	315	7	0.1	3.83	7.3	0.24	5	1.3	-	0.05	2&4	47.9			
2025-01-09 00:00:00	1900.0	3.42	2	55	22	270	7	0.15	3.84	7.3	0.25	5	1.2	-	0.05	2&4	48.0			
2025-01-09 00:00:00	2100.0	3.45	2	53.1	24	275	7	0.15	3.83	7.3	0.24	5	1.2	-	0.05	2&4	47.9			
2025-01-09 00:00:00	2300.0	3.44	2	53.8	22	250	7	0.13	3.83	7.3	0.26	5	1.1	-	0.05	2+4	47.9			
2025-01-09 00:00:00	100.0	3.43	2	53.6	20	211	7	0.15	3.83	7.3	0.26	5	1.3	-	0.05	2+4	47.9			
2025-01-09 00:00:00	300.0	3.43	2	53.5	19	205	7	0.16	3.83	7.3	0.26	5	1.5	-	0.05	2+4	47.9			
2025-01-09 00:00:00	500.0	3.42	2	53.2	18	196	7	0.18	3.83	7.3	0.26	5	1.5	-	0.05	2+4	47.6			
2025-02-09 00:00:00	700.0	3.42	2	53.2	20	211	7	0.07	3.77	7.3	0.28	5	1.6	-	0.05	2&4	47.9			
2025-02-09 00:00:00	900.0	-	2	53.2	17	190	7	0.07	3.77	7.3	0.29	5	1.6	-	0.05	2&4	47.9			
2025-02-09 00:00:00	1100.0	-	2	53.2	17	190	7	0.09	3.61	7.3	0.25	5	1.5	-	0.05	2&4	47.9			
2025-02-09 00:00:00	1300.0	-	2	53.2	9	94	7	0.06	3.69	7.3	0.24	5	1.6	-	0.05	2&4	47.9			
2025-02-09 00:00:00	1500.0	3.67	2	49.2	17	194	7	0.06	3.71	7.3	0.23	5	1.4	-	0.05	2&4	47.9			
2025-02-09 00:00:00	1700.0	3.62	2	48.2	21	225	7	0.05	3.62	7.3	0.23	5	1.4	-	0.05	2&4	47.9			
2025-02-09 00:00:00	1900.0	2.64	2	53.4	21	225	7	0.05	3.46	7.3	0.23	5	1.6	-	0.05	2&4	47.8			
2025-02-09 00:00:00	2100.0	3.63	2	53.2	20	218	7	0.06	3.67	7.3	0.23	5	1.5	-	0.05	2&4	47.9			
2025-02-09 00:00:00	2300.0	3.62	2	53	13	145	7	0.06	3.77	7.3	0.23	5	1.5	-	0.05	2&4	48.0			
2025-02-09 00:00:00	100.0	3.61	2	53	13	145	7	0.1	3.8	7.3	0.24	5	1.3	-	0.05	2&4	48.0			
2025-02-09 00:00:00	300.0	3.6	2	53	12	131	7	0.12	3.8	7.3	0.24	5	1.3	-	0.05	2&4	48.1			
2025-02-09 00:00:00	500.0	3.57	2	54	12	131	7	0.16	3.8	7.3	0.26	5	1.3	-	0.05	2&4	48.0			
2025-03-09 00:00:00	700.0	3.58	2	54	12	130	7	0.18	3.8	7.3	0.27	5	1.3	-	0.05	2&4	48.1			
2025-03-09 00:00:00	900.0	-	2	54	10	94	7	0.19	3.79	7.3	0.28	5	1.2	-	0.05	2&4	48.1			
2025-03-09 00:00:00	1100.0	-	2	54	13	130	7	0.19	3.71	7.3	0.28	5	1.3	-	0.05	2&4	48.1			
2025-03-09 00:00:00	1300.0	-	2	54	9	94	7	0.1	3.8	7.3	0.36	5	1.4	-	0.05	2&4	48.1			
2025-03-09 00:00:00	1500.0	3.53	-	50.7	11	115	7	0.07	3.57	7.3	0.26	5	1.7	-	0.05	2&4	49.4			
2025-03-09 00:00:00	1700.0	2.6	-	51.3	64	609	7	0.07	3.57	7.3	0.25	5	1.6	-	0.05	2&4	49.3			
2025-03-09 00:00:00	1900.0	3.57	-	51.4	60	585	7	0.05	3.59	7.3	0.24	5	1.5	-	0.05	2&4	49.3			
2025-03-09 00:00:00	2100.0	3.58	-	51.7	21	240	7	0.12	3.76	7.3	0.25	5	1.4	-	0.05	2&4	49.6			
2025-03-09 00:00:00	2300.0	3.58	-	53	24	254	7	0.1	3.8	7.3	0.26	5	1.4	-	0.05	2&4	47.7			
2025-03-09 00:00:00	100.0	3.55	1&2	52.8	20	224	7	0.05	3.78	7.3	0.24	5	1.5	-	0.05	2&4	47.5			
2025-03-09 00:00:00	300.0	3.58	1&2	52	20	224	7	0.05	3.78	7.3	0.24	5	1.5	-	0.05	2&4	47.7			
2025-03-09 00:00:00	500.0	3.62	1&2	51	19	209	7	0.05	3.78	7.3	0.24	5	1.5	-	0.05	2&4	47.7			
2025-04-09 00:00:00	700.0	3.52	1&2	51	19	209	7	0.07	3.81	7.3	0.24	5	1.6	-	0.05	2&4	47.8			
2025-04-09 00:00:00	900.0	-	-	51	21	224	7	0.07	3.81	7.3	0.28	5	1.4	-	0.05	2&4	47.8			
2025-04-09 00:00:00	1100.0	-	-	51	21	224	7	0.09	3.79	7.3	0.27	5	1.5	-	0.05	2&4	47.8			
2025-04-09 00:00:00	1300.0	-	-	51	26	270	7	0.08	3.81	7.3	0.29	5	1.3	-	0.05	2&4	47.8			
2025-04-09 00:00:00	1500.0	3.7	1&2	57.1	23	251	7	0.08	3.86	7.3	0.28	5	1.1	-	0.05	2&4	48.6			
2025-04-09 00:00:00	1700.0	3.68	1&2	52.4	21	235	7	0.06	3.8	7.3	0.27	5	1.2	-	0.05	2&4	48.8			
2025-04-09 00:00:00	1900.0	3.66	1&2	53.4	10	121	7	0.05	3.83	7.3	0.27	5	1.5	-	0.05	2&4	48.8			
2025-04-09 00:00:00	2100.0	3.66	1&2	53.5	24	254	7	0.06	3.83	7.3	0.27	5	1.5	-	0.05	2&4	48.9			
