TIME 	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
700	3.38	2	50.4	12	198	7	0.12	3.83	7.3		5	1.6	0.01	0.06	1+4	47.3			
900	3.56	2	50.4	23	380	7	0.25	3.83	7.3		5	1.6	0.01	0.06	1+4	47.2			
1100	3.58	2	50.6	24	386	7	0.18	3.83	7.3		5	1.7	0.01	0.06	1+4	47.5			
1300	3.5	2	50.0	24	380	7	0.15	3.8	7.3		5	1.5	0.01	0.06	1+4	46.8			
1500	3.49	2	49.9	50	569	7	0.13	3.82	7.3		5	1.6	0.01	0.06	1+4	46.9			
1700	3.59	2	49.1	33	421	7	0.04	3.81	7.3		5	1.8	0.01	0.06	1+4	46.8			
1900	3.66	2	49.4	29	375	7	0.04	3.82	7.3		5	2.0	0.01	0.06	1+4	46.5			
2100	3.87	2	49.9	29	375	7	0.04	3.82	7.3		5	1.9	0.01	0.06	1+4	46.5			
2300	4.19	1	50.2	28	342	7	0.04	3.82	7.3		5	1.7	0.01	0.06	1+4	46.7			
100	4.1	1	50.1	25	324	7	0.04	3.82	7.3		5	1.6	0.01	0.06	1+4	46.5			
300	3.83	1	50.1	20	214	7	0.04	3.82	7.3		5	1.6	0.01	0.06	1+4	46.5			
500	3.77	1	50.0	18	175	7	0.04	3.82	7.3		5	1.6	0.01	0.06	1+4	46.5			
