TIME 	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
700	3.33	1	50.4	10	108	7	0.05	3.84	7.3	0.68	5	1.7		0.05	2+3	45.9			
900	3.31	1	50.8	9	97	7	0.05	3.73	7.3	0.7	5	1.7		0.05	1+4	46.2			
1100	3.3	1	50.8	9	97	7	0.04	3.7	7.3	0.76	5	1.7		0.05	1+4	46.1			
1300	3.73	1	50.6	8	84	7	0.03	3.81	7.3	0.74	5	1.5		0.05	1+4	45.6			
1500	3.68	1	50.7	8	84	7	0.03	3.83	7.3	0.73	5	1.8		0.05	1+4	45.8			
1700	3.36	2	50.6	8	84	7	0.03	3.81	7.3	0.72	5	1.9		0.05	1+4	45.9			
1900	3.38	2	51.3	8	84	7	0.03	3.83	7.3	0.72	5	1.8		0.05	1+4	45.7			
2100	3.34	2	51.2	9	96	7	0.03	3.83	7.3	0.72	5	1.8		0.05	1+4	45.5			
2300	3.28	2	51.3	8	87	7	0.03	3.82	7.3	0.72	5	1.8		0.05	2+4	46.3			
100	3.46	2	51.2	8	87	7	0.03	3.82	7.3	0.72	5	1.7		0.05	2+4	46.2			
300	3.37	2	50.8	7	74	7	0.04	3.83	7.3	0.71	5	1.7		0.05	2+4	46.1			
500	3.3	2	50.8	7	74	7	0.04	3.83	7.3	0.71	5	1.7		0.05	2+4	46.0			
